,AL,AT,BA,BE,BG,CH,CZ,DE,DK,EE,ES,FI,FR,GB,GR,HR,HU,IE,IT,LT,LU,LV,ME,MK,NL,NO,PL,PT,RO,RS,SE,SI,SK,XK
2008-03-25 20:00:00,1001.417170970982,5067.109897942137,1269.1292227622955,9018.894466440182,4362.666651121717,6333.0,6407.447256465144,62727.16229986911,3186.459311661696,738.4731194227018,33222.37098209507,8119.503338854347,43595.383232177104,34331.818152754,3452.8327210486304,1984.493463009908,4496.036809381052,2366.4882401824507,31440.56750803972,1050.8987781484166,689.0261872161126,627.2460606794957,548.5467584666092,1009.6398961847297,12929.67319994641,10140.25115064374,16275.691648708244,6414.717155004546,6399.846822204936,4764.070910637858,10980.6732452845,1228.9767026784007,2869.6981728238247,886.9512699451041
2008-03-25 21:00:00,1002.361909989326,5456.558442655005,1184.9571822403084,9583.022799408507,4386.1445217770615,6458.0,6233.202763185839,61983.89550578687,2835.4899915933947,699.4326298485364,30980.285402812548,8165.044803561416,48078.90600093607,30296.620817194256,3299.986512648613,1826.5037974572,4292.537272282431,2086.661904693943,28147.694365713065,949.5518457015403,711.2347050257084,563.9535891321995,544.4569645401588,1001.0355345306807,12176.510316108408,10469.772577870503,15049.59823663509,6163.584656247484,5943.076059542904,4635.793937665921,10850.506407747813,1147.317321521446,2872.3219488021214,859.381341641468
2008-03-25 22:00:00,958.2503507223894,5229.389216115693,1037.0439831563103,9790.511279750353,4058.0019458499387,6272.0,6027.62938597278,58584.47454547146,2590.5695244814497,661.6655462434253,30101.703078235074,7906.849335663788,48553.432651163996,25999.516503540464,2747.432880479054,1551.4938869843627,4079.577265775244,1771.9128880743824,25285.178599865536,902.4536547522915,643.789670462471,441.96175567469663,520.1412209807542,955.265610705476,11370.180660851553,10741.05925899785,13999.626662763818,5858.149709879806,5639.561525015859,4462.078700519365,11361.688166564873,1052.4404525649882,2800.3375953131463,825.2865228709505
2008-03-25 23:00:00,865.6461116677194,4942.552225806936,880.7824721878025,9068.963987465153,3470.762552807693,6325.0,6138.578484503376,56821.68346241585,2435.280840972016,629.4814427775982,27656.059557468783,7494.970029932575,45716.60182090771,23483.95495488723,2276.779961818004,1283.8852316941557,3709.8339283172218,1641.4645190155447,22614.781477674907,863.6945528746307,632.1390382648738,432.37153193457686,473.9554965375568,864.6900667713712,10183.765677545212,10928.489558653753,12929.555403855085,5218.396691516415,5518.430937339441,4127.705041076134,11516.693845409824,935.6291023322239,2679.0279529792456,765.5174038472699
2008-03-26 00:00:00,791.562977282432,4783.296786330307,794.9960222125458,8802.887967222729,3191.540319914475,6182.0,6073.360953145612,55759.78214213238,2531.4150208133087,614.2949197497178,24727.37844889283,7707.9712600571675,48760.97224920101,25220.015980004406,2328.5674223990345,1152.9715664460355,3410.5366890123196,1599.10909870169,21632.955702023,865.6962262111883,649.6732642307588,448.7839760536681,427.58312267780366,773.928553709471,9691.735301803947,11258.535437542792,12353.534472691732,4639.579214728261,5450.889745992243,3799.863404021456,11851.35369818145,917.9309868472662,2541.646457349362,703.8471522647458
2008-03-26 01:00:00,759.2371431266722,4587.66136354894,727.2316476015553,8089.93775315767,2976.3062795243154,6066.0,6041.495194030859,54797.09415115439,2434.882747953422,568.9324301392012,22970.535026878875,7348.223173043949,46367.41247365994,24084.71407571219,2010.2224807264251,1042.0713965571067,3278.7774489203757,1398.5201678649698,21208.276267870508,864.0961670169615,627.5584459783217,437.77303220748075,412.90970025522427,702.0382168534483,9260.421934357411,11061.411118417036,11998.957629457713,4201.419156347538,5380.288083897948,3524.0386085002715,11638.106160978052,882.6535811211966,2413.391548580882,656.0380044250248
2008-03-26 02:00:00,701.5004653530791,4316.934787970009,683.1285661033965,7724.191294929626,2787.6828568251985,6358.0,5759.340804255657,54606.70064033721,2371.055194198727,511.6926205803549,21681.339221191996,6797.618248703016,42588.671763173945,23573.802321461037,1599.2706044721099,971.7484612164781,3038.4548032636367,1255.2128988039983,21071.628681547383,906.7706992483522,562.9934159844863,453.2350250104548,386.4712699615341,664.8365323823012,8965.19391423193,10405.592887013578,11694.69748157544,3896.2559476325687,5398.526680683976,3328.3628871368314,11263.817593409298,841.1863391746593,2315.3458274643895,623.9360022509578
2008-03-26 03:00:00,659.5233024026782,4048.863832011166,617.4823049518457,7510.477936453532,2574.342223115428,6247.0,5660.263132138435,54565.96460044974,2298.1417885998876,466.99983715793917,20209.226334016206,6141.065108470749,38964.344383622694,21859.81368046398,1306.2068104023028,892.1429901942835,2839.5517255031987,1065.901431895286,21520.165220031122,1073.6077990476767,514.5673398147335,534.6122123021146,370.20452666295495,622.4891721582499,8532.096590684108,8934.332091847378,11375.312508161658,3761.6840992943253,5445.549358762184,3143.143652860606,10222.599385368678,800.3320659382042,2185.5880237051124,596.9875138442487
2008-03-26 04:00:00,616.4243572336268,4058.4468997264594,551.54489866238,7366.912624036098,2697.802703722011,6375.0,5535.522132461894,54161.94357395876,2322.1303471093806,559.846437466484,18996.109721967816,6678.00889621004,36584.06802400791,19169.238773785284,1635.3777389270426,855.8082675568761,2795.2358744578582,756.320307851483,24691.670337441385,1207.6195208011186,441.5536046101576,637.6282014551491,353.17456663606436,582.2303659170527,8393.162515981905,6744.446043395164,10718.048458367526,3535.4891747972724,5730.00400010672,3060.0847421720414,8669.025234438954,804.5045095927613,2042.4690194838395,590.2024365330442
2008-03-26 05:00:00,680.1945102691221,4571.139491961809,714.73526213942,8001.6284775203385,3071.606948893157,6464.0,6181.250881354877,56988.88848387344,2946.1876934391894,709.8711822569556,20847.154197740863,7057.859995897124,38689.959602621,15717.199218357486,2742.0836103347324,1108.277426223237,3028.1910754111914,440.19766345859307,31004.766224415187,1352.9223754406526,412.46365411897034,763.5476382964756,387.29867015367137,612.0411219496112,9242.555141145769,7314.614056793442,12187.514666530891,3380.0119702719658,6406.054301688791,3512.557962721701,9911.031374608388,1066.6892884437625,2285.6332346178465,672.9417621421162
