Country;month;year;status;net_gen_nuclear;net_gen_nuclear_rep;prod_fossil_fuels;prod_fossil_fuels_rep;-> of which lignite;lignite_rep;-> of which hard coal;hard_coal_rep;-> of which gas;gas_rep;-> of which oil;fuel_oil_rep;-> of which mixed fuels;mixed_fuel_rep;-> of_which_other_fossil_fuels;other_fossil_fuels_rep;net_gen_renewable;net_gen_renewable_rep;-> of which wind;wind_rep;-> of which solar;solar_rep;-> of which biomass;biomass_rep;-> of_which_other_renewable;other_renewable_rep;net_gen_hydro;net_gen_hydro_rep;-> of_which_renew;renew_rep;-> of_which_other_hydro;other_hydro_rep;net_gen_not_clearly;net_gen_not_clearly_rep;losses_trans;losses_trans_repr;Sum;pump;exg_saldo;consumption
NI;4;2014;P;0;100;436;100;0;100;208;100;227;100;1;100;0;100;0;100;122;100;114;100;0;100;5;100;3;100;1;100;0;100;1;100;0;100;9;100;559;0;138;697
EE;3;2014;P;0;100;736;100;;100;0;100;0;100;0;100;0;100;736;100;123;100;66;100;0;100;57;100;0;100;4;100;4;100;0;100;0;100;35;100;863;0;-137;726
HU;2;2014;P;1292;100;744;100;475;100;38;100;228;100;3;100;0;100;0;100;179;100;60;100;0;100;119;100;0;100;23;100;23;100;0;100;0;100;32;100;2238;0;975;3213
HU;3;2014;P;1383;100;732;100;541;100;50;100;138;100;3;100;0;100;0;100;184;100;65;100;1;100;118;100;0;100;28;100;28;100;0;100;0;100;32;100;2327;0;998;3325
BE;3;2014;P;3738;100;1728;100;0;100;384;100;1340;100;4;100;0;100;0;100;967;100;324;100;296;100;347;100;0;100;133;100;25;100;108;100;0;100;0;100;6566;144;883;7305
IE;4;2014;P;0;100;1492;100;192;100;457;100;836;100;1;100;0;100;6;100;385;100;364;100;0;100;0;100;21;100;72;100;53;100;19;100;0;100;0;100;1949;39;176;2086
PL;3;2014;P;0;100;10884;100;4025;100;5858;100;236;100;0;100;0;100;765;100;1293;100;692;100;0;100;566;100;35;100;268;100;204;100;64;100;0;100;107;100;12445;93;249;12601
FI;3;2014;P;2049;100;1447;100;;100;651;100;490;100;20;100;286;100;0;100;1150;100;107;100;0;100;1043;100;0;100;1297;100;1297;100;0;100;71;100;0;100;6014;0;1605;7619
LT;3;2014;P;0;100;146;100;0;100;0;100;46;100;0;100;81;100;19;100;101;100;62;100;6;100;33;100;0;100;94;100;57;100;37;100;0;100;16;100;341;54;610;897
BG;4;2014;D;1127;100;1452;100;1191;100;131;100;130;100;0;100;0;100;0;100;208;100;94;100;106;100;8;100;0;100;443;100;386;100;57;100;0;100;0;100;3230;80;-632;2518
RO;3;2014;D;970;100;1864;100;907;100;292;100;174;100;0;100;491;100;0;100;921;100;730;100;149;100;42;100;0;100;1249;100;1249;100;0;100;0;100;82;100;5004;12;-411;4581
NO;3;2014;P;0;100;321;100;;100;0;100;321;100;0;100;0;100;0;100;234;100;234;100;0;100;0;100;0;100;11702;100;11702;100;0;100;0;100;1002;100;12257;62;-282;11913
UA_W;4;2014;P;0;100;573;100;;100;0;100;0;100;0;100;573;100;0;100;2;100;0;100;2;100;0;100;0;100;9;100;9;100;0;100;0;100;12;100;584;0;-355;229
NL;4;2014;D;366;100;6531;100;;100;0;100;0;100;0;100;0;100;6531;100;946;100;510;100;6;100;430;100;0;100;22;100;22;100;0;100;0;100;44;100;7865;0;1002;8867
CH;3;2014;D;2459;100;200;100;;100;0;100;0;100;0;100;0;100;200;100;178;100;11;100;0;100;0;100;167;100;2776;100;0;100;2776;100;0;100;97;100;5613;126;178;5665
