country,year,total residential space,electricity residential space,total services space,electricity services space
EE,2016,0.0002068361788600202,6.894539295334007e-05,0.006649892073657031,0.0022166306912190102
EE,2017,0.00022883518898175902,7.6278396327253e-05,0.006706210121759986,0.0022354033739199956
EE,2018,0.0003362181304835547,0.0001120727101611849,0.007369265878370715,0.0024564219594569053
EE,2019,0.00025005557200048875,8.335185733349625e-05,0.007001214278419264,0.002333738092806421
EE,2020,0.0002901521251246179,9.67173750415393e-05,0.006748774780820792,0.0022495915936069305
EE,2021,0.0004800472958101644,0.0001600157652700548,0.007594884316304019,0.002531628105434673
ES,2000,0.46058112780127347,0.1535270426004245,2.869272213501352,0.9564240711671174
ES,2001,0.5816830603127869,0.19389435343759565,3.3175990563173263,1.1058663521057754
ES,2002,0.47097323253973195,0.15699107751324398,3.274744223661622,1.0915814078872075
ES,2003,1.004221803904571,0.33474060130152367,4.804914954761098,1.6016383182536993
ES,2004,0.8837254058391623,0.29457513527972073,4.526173791114334,1.5087245970381113
ES,2005,1.2048156754497108,0.4016052251499036,5.243502663388753,1.7478342211295843
ES,2006,1.4020668466905388,0.46735561556351296,6.5529232157738955,2.1843077385912983
ES,2007,0.936371046916832,0.31212368230561066,5.620469769746428,1.8734899232488094
ES,2008,1.1278693794035226,0.3759564598011742,6.424810797428386,2.1416035991427953
ES,2009,1.7578596105843525,0.5859532035281175,8.986065810476726,2.9953552701589086
ES,2010,1.766565833333333,0.5888552777777777,9.006793468033566,3.002264489344522
ES,2011,1.7765566666666675,0.5921855555555559,8.36408782505438,2.788029275018127
ES,2012,1.7527702777777776,0.5842567592592592,10.183943517178731,3.394647839059577
ES,2013,1.658745,0.5529149999999999,8.22576902161234,2.741923007204113
ES,2014,1.3204602222222217,0.4401534074074072,7.544903249626257,2.514967749875419
ES,2015,2.0445156249999963,0.6815052083333321,10.91097811981681,3.6369927066056036
ES,2016,1.950941999999999,0.6503139999999997,10.467546886205453,3.4891822954018177
ES,2017,2.1664738333333298,0.7221579444444433,11.923536722440538,3.9745122408135125
ES,2018,1.7508561111111072,0.5836187037037024,8.396214978398241,2.798738326132747
ES,2019,1.7035866666666624,0.5678622222222208,8.682286816505835,2.894095605501945
ES,2020,1.7092591666666606,0.5697530555555536,9.587315717604088,3.1957719058680296
ES,2021,1.7075083333333285,0.5691694444444428,8.243606316936454,2.747868772312151
FI,2000,0.05901830329098553,0.019672767763661843,0.13342576651836027,0.04447525550612009
FI,2001,0.06172179492785505,0.02057393164261835,0.1353886432132499,0.045129547737749964
FI,2002,0.06443711972330786,0.021479039907769285,0.1398237672048532,0.046607922401617735
FI,2003,0.07948057728668316,0.02649352576222772,0.15002476870501338,0.05000825623500446
FI,2004,0.06798589421498434,0.022661964738328114,0.1487237829716216,0.049574594323873865
FI,2005,0.07013920901111974,0.02337973633703991,0.15643664864906875,0.052145549549689585
FI,2006,0.07150490723857672,0.023834969079525575,0.16304236182887197,0.05434745394295732
FI,2007,0.07216815863229903,0.02405605287743301,0.17216487296290034,0.05738829098763345
FI,2008,0.07797686114040026,0.025992287046800084,0.1818050249702097,0.0606016749900699
FI,2009,0.07901561377731342,0.02633853792577114,0.1896645105304397,0.06322150351014656
FI,2010,0.10558623477264097,0.03519541159088032,0.2075943700449113,0.06919812334830376
FI,2011,0.08449129789932776,0.028163765966442586,0.19623438726783696,0.06541146242261232
FI,2012,0.08258864161608485,0.027529547205361618,0.1915190691565706,0.06383968971885687
FI,2013,0.08350878354663312,0.02783626118221104,0.1902381268685128,0.06341270895617093
FI,2014,0.08868631199644376,0.02956210399881459,0.19146841165902623,0.06382280388634208
FI,2015,0.08699999999999998,0.028999999999999995,0.18811217180783882,0.0627040572692796
FI,2016,0.08999999999999998,0.029999999999999995,0.1887055852523784,0.0629018617507928
FI,2017,0.08800000000000004,0.029333333333333347,0.18388510391284357,0.06129503463761452
FI,2018,0.0920000000000001,0.0306666666666667,0.17971951999458258,0.05990650666486086
FI,2019,0.10399999999999998,0.03466666666666666,0.17920724928159604,0.05973574976053201
FI,2020,0.11699999999999988,0.03899999999999996,0.17740216487767302,0.05913405495922434
FI,2021,0.14299999999999988,0.04766666666666663,0.1724571140186422,0.05748570467288073
FR,2000,0.8644205736553373,0.28814019121844575,3.4142872830881346,1.1380957610293783
FR,2001,1.0614825220845134,0.3538275073615045,3.762237662941945,1.2540792209806484
FR,2002,0.8326830927966613,0.27756103093222045,3.7380214821126745,1.246007160704225
FR,2003,2.8214028339265655,0.9404676113088551,6.719965117290177,2.239988372430059
FR,2004,0.8613297686677714,0.28710992288925713,4.027338168472393,1.3424460561574643
FR,2005,1.1878801493136302,0.3959600497712101,4.453096653979703,1.4843655513265677
FR,2006,1.6255457654403882,0.5418485884801294,5.384172793779405,1.7947242645931352
FR,2007,0.7781816647602802,0.25939388825342674,4.356816293331306,1.452272097777102
FR,2008,0.8579096318586711,0.2859698772862237,4.4690265496720345,1.4896755165573448
FR,2009,1.0968118070297512,0.3656039356765837,4.951896529911739,1.6506321766372463
FR,2010,1.1201482180071902,0.3733827393357301,4.960752052803153,1.653584017601051
FR,2011,1.1004413888888893,0.36681379629629646,4.919005967790614,1.6396686559302047
FR,2012,1.0999755555555557,0.36665851851851855,5.125795666874177,1.7085985556247258
FR,2013,1.1542358333333336,0.38474527777777784,5.040673810178253,1.680224603392751
FR,2014,1.206708888888888,0.402236296296296,4.697632943538426,1.5658776478461418
FR,2015,1.276306944444445,0.4254356481481483,5.878135161763902,1.959378387254634
FR,2016,1.5685930555555545,0.5228643518518515,5.100813853106419,1.7002712843688064
FR,2017,1.5630291666666658,0.521009722222222,5.546289055586838,1.848763018528946
FR,2018,1.7356702777777737,0.5785567592592579,5.500088356040252,1.8333627853467507
FR,2019,1.9870769444444405,0.6623589814814802,5.600123514205532,1.8667078380685107
FR,2020,2.5067333333333264,0.8355777777777754,5.633264455144979,1.8777548183816597
FR,2021,2.7986444444444403,0.9328814814814801,4.691126486447434,1.5637088288158114
GB,2000,0.012033987718284863,0.004011329239428288,0.5623411690910655,0.1874470563636885
GB,2001,0.012070344246072968,0.004023448082024323,0.6492788666069729,0.21642628886899096
GB,2002,0.012313862067112095,0.004104620689037365,0.6250495299306668,0.20834984331022224
GB,2003,0.013227094551091704,0.0044090315170305676,0.6817597490067373,0.22725324966891244
GB,2004,0.01364992194006247,0.004549973980020823,0.7029755585666003,0.23432518618886677
GB,2005,0.014832682039588579,0.004944227346529526,0.768917511874527,0.25630583729150896
GB,2006,0.01766096385141037,0.005886987950470123,0.8118783604925044,0.27062612016416815
GB,2007,0.022544864586301654,0.0075149548621005514,0.9479640817856555,0.3159880272618852
GB,2008,0.024325935937614656,0.008108645312538219,0.9205972462805925,0.3068657487601975
GB,2009,0.026571021113106046,0.008857007037702015,0.959987822945849,0.31999594098194967
GB,2010,0.031543617344873154,0.010514539114957719,1.046006645482192,0.3486688818273973
GB,2011,0.02943895924680054,0.00981298641560018,0.9800241617143115,0.32667472057143715
GB,2012,0.03836645693029356,0.012788818976764519,1.1486906879623735,0.38289689598745785
GB,2013,0.03358387360593308,0.011194624535311027,1.07045071204547,0.3568169040151567
GB,2014,0.035679748123099674,0.011893249374366558,1.0737319579779694,0.35791065265932315
