country,year,sum_hdd,sum_cdd,sum_elec_space_heat,sum_elec_space_cool
RO,2017,13691580624.825127,2153997981.9630265,0.18378705765249548,0.12997498226631832
RO,2018,13121729136.983059,2078614032.6920578,0.188093790712757,0.127304132345101
RO,2019,11862147410.845848,2203855388.5918775,0.1862900377632242,0.1330419552579955
RS,2007,1318424863.3680525,323968063.4147378,3.401430744483161,0.1820484732328066
RS,2008,1296566808.743833,289617995.12984055,3.484060015997721,0.1148334593910911
RS,2009,1353136662.9562912,265329419.9576273,3.349926918479648,0.1132809250412766
RS,2011,1538728241.240761,295131077.580551,3.4296861703664168,0.1164244780593636
RS,2012,1489216923.8426857,412843682.1694669,3.3870609801253693,0.25979236593735033
RS,2013,1314397546.4647717,273182649.50966763,2.863284582255216,0.1379973421611399
RS,2014,1171928786.7767055,193405650.4086393,2.7439794259214723,0.1327763895168414
RS,2015,1351976877.4137502,352267229.96006435,2.8581605335121134,0.2022613576518033
RS,2017,1420784165.5308647,332061174.7448441,2.89033374388072,0.1852732947048492
RS,2018,1297019772.1514754,278931191.1165679,2.8398299613680047,0.1463460929463078
RS,2019,1197460312.9905443,298118751.292862,2.8240789573958467,0.1608013380205405
SE,2007,34539395455.550674,124804916.78264137,36.1001070626857,0.15008613216614808
SE,2008,34230109426.894478,149657625.04875034,34.612666549411394,0.1456894284075382
SE,2009,36452571111.34819,154111352.70817363,33.981148042214166,0.14747959009906178
SE,2011,33286775341.184658,199234972.81883436,33.28240585951211,0.1470371677559227
SE,2012,37573878662.40559,31023879.458152924,35.438898258127686,0.14526247918720908
SE,2013,35195898706.51476,90117353.55562109,33.877830366577484,0.1442676737793545
SE,2014,33073469876.670815,467524205.66822684,32.068824696595215,0.14392018858019878
SE,2015,32776268717.057476,63555614.1181852,21.251089078244078,0.13936841244442771
SE,2017,35379617809.77672,16067492.34652621,20.787501214393565,0.1376962807176952
SE,2018,35481273047.50891,681592984.1518707,21.359921999555866,0.1373148105445421
SE,2019,35333623739.06247,256665348.63650697,20.513620170274866,0.1354895877171094
SI,2007,121606673.97177494,13566113.531875454,0.9551658831008353,0.0275636592008342
SI,2008,127763213.27245101,13625628.614777964,1.3660338096057738,0.0295653215695671
SI,2009,129165065.6186728,13061203.233118182,1.2795869172643939,0.0315140278890047
SI,2011,131285211.68625411,14784035.451218855,1.3238449138377635,0.0377787281470563
SI,2012,133027032.5625346,18437457.43835737,1.26940715775111,0.0519352320904069
SI,2013,133853325.41473679,16476080.491139455,1.304814240392646,0.0521148501126838
SI,2014,103692455.46924183,8750254.56434846,1.2059271221066235,0.0319885037230276
SI,2015,124128668.67904921,19136639.161011726,1.2442064444699301,0.0575840668079932
SI,2017,131142909.36944291,18561943.844651677,1.5277980672238818,0.0565970932694039
